ID,角色名,描述,稀有度,定位,强项,基础HP,基础ATK,基础DEF,基础SKL,基础SPD,成长HP,成长ATK,成长DEF,成长SKL,成长SPD,满级HP,满级ATK,满级DEF,满级SKL,满级SPD
120,沃纶姆,"一名总能引起话题的嘻哈歌手，隶属于首席女歌手部队。
她的标志性特点是华丽的外表，和让人觉得无礼的我行",5,攻击型,ATK+/DEF+,26,14,7,5,5,3.5,3.8,2.8,2.2,2.0,372,390,284,222,203
121,森,森 lv200 拥有以语言来洗脑对手的能力，是真善美部队的领导者。 她将这种能力再结合话术，巧妙地应,3,速度型,SPD+/ATK+,20,11,5,5,8,2.8,3.0,2.2,2.2,3.2,297,308,222,222,324
122,米尔克,米尔克 lv200 「有困难就找咖啡厅甜心部队！」米尔克认为这句宣传标语简直烂到极点。 和白皙漂亮的,4,攻击型,ATK+/SKL+,22,13,5,7,6,3.0,3.5,2.2,3.0,2.5,319,359,222,304,253
123,杨,"老辣的生意人，操着一口方言。
利用天生的才干经营着连锁商场。让达兰特部队变得家喻户晓的一等功臣。",3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
124,格拉维,格拉维 lv200 背着巨大棺材在地面流浪的不明身份妮姬。 为了自己能在暗中秘密行动以达成目的，她的,5,攻击型,ATK+/DEF+,26,14,7,5,5,3.5,3.8,2.8,2.2,2.0,372,390,284,222,203
125,机甲谢芙蒂,“机甲——！谢芙蒂——！”,5,攻击型,ATK+/SKL+,24,14,6,7,6,3.4,3.8,2.5,3.0,2.5,360,390,253,304,253
126,千束,"全名是锦木千束。
 事实上，她被誉为历代最强的莉可丽丝。
 乐于解决DA不会介入的民间棘手事件。
 ",4,技巧型,SKL+/SPD+,20,10,5,7,7,2.8,2.8,2.2,3.0,3.0,297,287,222,304,304
127,梅登,"隶属于外界部队的妮姬，穿着显眼。
她的面具度下似乎隐藏着惊人的秘密。",4,防御型,HP+/DEF+,28,10,9,4,4,3.5,2.8,2.8,1.8,1.8,374,287,286,182,182
128,梅里,梅里 lv200 有能力非常体贴的医生 在六翼天使部队中被称为白衣天使，但对那些不听话的患者…… 0,3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
129,樱花,黑道女王部队的妮姬，也是保守派黑帮组织清明会的年轻领袖。与组织名称「清澈净明」的意义相符，她是个致力,4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
130,爱因,"M.M.R. 附属高中的 1 年级在读学生，对时装设计很感兴趣。
虽然她上课时不是在玩手机，就是趴在",3,速度型,SPD+/ATK+,20,11,5,5,8,2.8,3.0,2.2,2.2,3.2,297,308,222,222,324
131,爱德,"隶属于专属女仆部队。
沉稳、温顺、亲切，可谓是完美女仆。",3,平衡型,无,20,10,6,5,5,2.8,2.8,2.5,2.2,2.2,297,287,253,222,222
132,爱蜜莉雅,爱蜜莉雅 lv200 有着银色长发和蓝紫色瞳孔的半精灵少女。 亲龙王国露格尼卡的下一任国王候选人之一,3,技巧型,SKL+/ATK+,20,11,5,7,6,2.8,3.0,2.2,3.2,2.5,297,308,222,323,253
133,牡丹,"管理方舟黑社会的黑道女王所属妮姬。
领导着一个叫牡丹会的小型组织。
是为义气而生，为义气而死的义",4,攻击型,ATK+/SPD+,22,13,5,6,7,3.0,3.5,2.2,2.5,3.0,319,359,222,253,304
134,皇冠,隶属于白骑士部队的朝圣者。自称为国王，正在招募王国的臣民。她的目标是实现臣民的愿望。,4,防御型,HP+/DEF+,28,10,9,5,4,3.5,2.8,2.8,2.2,1.8,374,287,286,222,182
135,薇尔维特,"专属女仆部队的新人女仆。
曾经是泰特拉秘密部队「阴影部队」的队长，如今却摇身一变，成为一名散漫不羁、",4,技巧型,SKL+/ATK+,22,12,6,8,6,3.0,3.2,2.5,3.5,2.5,319,328,253,354,253
136,西格娜,沉迷浪漫爱情剧，对恋爱充满幻想的通信兵，侦察者部队的得力帮手。,5,攻击型,ATK+/DEF+,26,14,7,5,5,3.5,3.8,2.8,2.2,2.0,372,390,284,222,203
137,安妮,"收到露菲的礼物，重生成为冬日精灵的安妮。
在露菲正能量的影响下，展现出不同于过往的活泼积极的一面。",5,攻击型,ATK+/SKL+,24,15,6,8,6,3.6,4.2,2.5,3.2,2.5,380,430,253,324,253
138,罗珊娜,"势力庞大的黑手党组织赫多尼亚的老大。
在隶属于黑道女王部队的妮姬中，是最不掩饰地使用「以暴制暴」这个",5,攻击型,ATK+/DEF+,26,14,8,5,5,3.6,4.0,3.0,2.2,2.0,382,410,305,222,203
139,奈雅纪,6星测试卡,5,攻击型,ATK+/SPD+,24,14,5,6,8,3.5,4.0,2.2,2.5,3.2,370,410,222,253,324
